X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,class
0.12,0.13,0.08,0.08,0.12,0.11,0.11,0.1,0.07,0.09,0.08,0.08,0.19,0.07,0.12,0.07,0.1,0.08,0.1,0.14,0.17,0.08,0.1,0.1,0.09,0.09,0.1,0.11,0.1,0.09,0,10.24,0.34,2900.0,1450.0,2175.0,4.15,4.19,3.8,5.22,4.89,5.22,12.45,Walking
0.05,0.12,0.17,0.2,0.15,0.16,0.14,0.03,0.0,0.0,0.08,0.06,0.06,0.04,0.06,0.06,0.11,0.12,0.18,0.18,0.21,0.14,0.13,0.08,0.07,0.07,0.06,0.04,0.08,0.14,0,9.54,-1.87,2700.0,371.15,4600.0,3.34,7.09,6.29,4.23,8.43,4.23,14.5,Jogging
0.06,0.08,0.11,0.08,0.13,0.1,0.13,0.11,0.14,0.09,0.06,0.06,0.11,0.11,0.16,0.14,0.14,0.1,0.1,0.06,0.06,0.09,0.12,0.06,0.14,0.13,0.13,0.11,0.11,0.07,0,9.57,1.72,4050.0,550.0,2700.0,2.1,2.11,1.56,2.71,2.82,2.71,10.3,Downstairs
0.15,0.05,0.09,0.07,0.11,0.13,0.08,0.12,0.12,0.1,0.12,0.12,0.07,0.07,0.11,0.12,0.14,0.08,0.08,0.12,0.09,0.08,0.07,0.15,0.12,0.12,0.09,0.1,0.12,0.08,0,6.78,0.38,1540.0,1150.0,3325.0,6.84,3.21,2.42,7.97,4.12,7.97,10.49,Walking
0.05,0.09,0.07,0.08,0.12,0.08,0.16,0.14,0.11,0.0,0.08,0.16,0.06,0.1,0.09,0.1,0.12,0.1,0.12,0.0,0.11,0.11,0.07,0.14,0.09,0.07,0.13,0.12,0.09,0.0,0,8.96,0.61,2616.67,384.0,1570.0,2.79,8.02,4.09,3.63,9.1,3.63,12.64,Jogging
0.09,0.13,0.11,0.09,0.07,0.13,0.11,0.07,0.13,0.07,0.11,0.1,0.11,0.11,0.13,0.08,0.12,0.1,0.07,0.1,0.09,0.09,0.1,0.1,0.1,0.1,0.14,0.05,0.14,0.12,0,4.9,0.24,2100.0,800.0,350.0,8.59,2.67,2.28,9.61,3.75,9.61,11.06,Walking
0.1,0.06,0.07,0.11,0.09,0.11,0.09,0.15,0.13,0.13,0.11,0.11,0.12,0.09,0.06,0.12,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.16,0.1,0.13,0.09,0.1,0.08,0.11,0,9.85,0.8,3650.0,1027.78,3050.0,1.96,4.15,3.33,2.59,5.05,2.59,11.25,Walking
0.02,0.12,0.12,0.13,0.09,0.13,0.1,0.08,0.12,0.12,0.06,0.09,0.14,0.09,0.13,0.1,0.11,0.1,0.11,0.08,0.05,0.08,0.08,0.11,0.12,0.08,0.14,0.16,0.15,0.05,0,3.18,0.77,3225.0,3475.0,550.0,9.59,1.36,2.38,10.1,1.7,10.1,10.61,Walking
0.0,0.02,0.07,0.09,0.08,0.12,0.15,0.16,0.14,0.19,0.1,0.09,0.11,0.12,0.08,0.09,0.1,0.09,0.12,0.13,0.09,0.08,0.13,0.12,0.12,0.14,0.09,0.08,0.09,0.08,0,8.8,-0.66,1700.0,500.0,1766.67,3.16,5.05,2.64,4.08,5.89,4.08,10.61,Downstairs
0.0,0.24,0.1,0.07,0.09,0.11,0.07,0.11,0.13,0.1,0.09,0.09,0.1,0.1,0.14,0.1,0.09,0.14,0.12,0.06,0.05,0.08,0.09,0.1,0.12,0.12,0.16,0.09,0.13,0.07,0,1.48,-0.77,3150.0,1208.33,2362.5,9.24,7.21,2.62,11.65,8.5,11.65,13.03,Jogging
0.08,0.1,0.1,0.13,0.13,0.11,0.12,0.07,0.1,0.08,0.12,0.06,0.14,0.07,0.1,0.12,0.1,0.14,0.07,0.0,0.05,0.05,0.1,0.12,0.09,0.11,0.15,0.15,0.13,0.08,0,7.05,0.48,465.79,571.88,2100.0,9.47,7.6,3.36,11.24,8.54,11.24,14.8,Jogging
0.11,0.11,0.07,0.12,0.09,0.1,0.08,0.1,0.12,0.11,0.09,0.12,0.09,0.08,0.1,0.12,0.09,0.1,0.11,0.12,0.1,0.12,0.12,0.1,0.12,0.09,0.09,0.08,0.09,0.11,0,8.48,-1.55,1475.0,3200.0,1483.33,4.87,3.0,2.82,5.6,3.51,5.6,10.91,Walking
0.0,0.0,0.01,0.06,0.04,0.03,0.04,0.09,0.13,0.0,0.24,0.17,0.21,0.14,0.11,0.08,0.02,0.03,0.01,0.0,0.08,0.11,0.13,0.11,0.1,0.09,0.11,0.07,0.12,0.0,0,4.97,-0.2,1483.33,3325.0,1937.5,8.09,2.9,2.91,9.35,3.63,9.35,10.98,Walking
0.12,0.1,0.13,0.09,0.11,0.12,0.08,0.11,0.08,0.09,0.07,0.13,0.08,0.11,0.08,0.1,0.14,0.09,0.09,0.12,0.11,0.12,0.14,0.13,0.08,0.09,0.11,0.09,0.07,0.08,0,9.76,1.3,475.0,1783.33,1375.0,1.66,2.51,1.35,2.11,3.22,2.11,10.2,Downstairs
0.06,0.04,0.13,0.13,0.12,0.11,0.08,0.12,0.12,0.12,0.08,0.11,0.11,0.09,0.08,0.1,0.1,0.12,0.11,0.11,0.06,0.11,0.12,0.1,0.1,0.13,0.11,0.08,0.15,0.06,0,8.61,-2.07,2175.0,441.67,1150.0,3.51,6.31,2.17,4.45,7.06,4.45,10.85,Jogging
0.02,0.08,0.16,0.11,0.09,0.05,0.1,0.15,0.12,0.08,0.19,0.18,0.15,0.07,0.1,0.09,0.07,0.09,0.03,0.05,0.15,0.1,0.07,0.07,0.1,0.11,0.12,0.13,0.1,0.09,0,-6.15,0.56,422.73,4150.0,2900.0,8.46,7.46,4.34,10.78,9.04,10.78,14.5,Jogging
0.1,0.13,0.1,0.07,0.09,0.08,0.12,0.08,0.12,0.13,0.09,0.1,0.12,0.11,0.11,0.1,0.06,0.09,0.11,0.12,0.07,0.14,0.12,0.12,0.09,0.11,0.09,0.07,0.08,0.13,0,8.54,2.17,2500.0,863.64,3325.0,3.5,4.6,3.57,4.52,5.63,4.52,11.03,Downstairs
0.14,0.08,0.08,0.06,0.13,0.15,0.11,0.09,0.11,0.07,0.16,0.12,0.09,0.04,0.1,0.09,0.12,0.07,0.14,0.0,0.16,0.12,0.1,0.08,0.12,0.08,0.08,0.09,0.06,0.13,0,6.76,-0.63,1475.0,413.04,1875.0,4.01,8.83,8.07,5.03,10.14,5.03,14.93,Jogging
0.08,0.1,0.13,0.11,0.12,0.06,0.09,0.08,0.07,0.19,0.09,0.08,0.08,0.19,0.1,0.07,0.12,0.11,0.07,0.0,0.1,0.08,0.08,0.09,0.06,0.1,0.13,0.17,0.13,0.08,0,7.69,1.46,1625.0,428.57,2950.0,4.81,7.71,6.84,5.94,8.85,5.94,14.46,Jogging
0.09,0.11,0.1,0.12,0.11,0.1,0.13,0.1,0.09,0.07,0.08,0.12,0.12,0.12,0.07,0.09,0.13,0.08,0.11,0.1,0.07,0.14,0.09,0.11,0.12,0.13,0.1,0.08,0.11,0.08,0,7.43,1.8,1280.0,478.95,3775.0,4.0,7.21,2.65,5.3,8.17,5.3,11.1,Jogging
0.12,0.08,0.08,0.1,0.09,0.09,0.15,0.1,0.08,0.13,0.08,0.09,0.12,0.1,0.15,0.09,0.08,0.11,0.07,0.13,0.07,0.1,0.11,0.09,0.13,0.09,0.11,0.12,0.13,0.08,0,6.89,0.63,1762.5,1085.71,1330.0,6.94,3.16,2.63,8.1,4.08,8.1,10.69,Walking
0.09,0.08,0.08,0.1,0.12,0.11,0.12,0.11,0.11,0.1,0.08,0.11,0.13,0.09,0.09,0.1,0.11,0.09,0.11,0.1,0.08,0.09,0.11,0.14,0.1,0.09,0.16,0.08,0.08,0.1,0,9.49,1.95,2900.0,1675.0,987.5,1.58,2.34,1.32,2.04,2.92,2.04,10.04,Downstairs
0.11,0.09,0.12,0.11,0.08,0.1,0.05,0.13,0.1,0.13,0.1,0.1,0.09,0.1,0.13,0.07,0.09,0.13,0.09,0.1,0.11,0.1,0.11,0.07,0.12,0.1,0.09,0.09,0.11,0.12,0,8.37,1.56,1466.67,730.77,1675.0,5.44,6.33,2.84,6.7,7.12,6.7,11.75,Jogging
0.01,0.01,0.04,0.15,0.12,0.23,0.02,0.03,0.05,0.36,0.03,0.02,0.02,0.17,0.02,0.0,0.01,0.01,0.01,0.73,0.71,0.01,0.0,0.01,0.0,0.03,0.0,0.01,0.01,0.24,0,7.74,4.4,2250.0,422.22,230.0,1.47,2.42,3.19,1.77,2.8,1.77,10.16,Sitting
0.12,0.13,0.14,0.11,0.19,0.1,0.09,0.07,0.04,0.03,0.05,0.13,0.06,0.08,0.06,0.13,0.14,0.14,0.14,0.1,0.11,0.07,0.07,0.1,0.07,0.15,0.14,0.13,0.08,0.11,0,10.05,-0.13,2100.0,1335.71,1025.0,2.84,3.24,2.78,3.78,3.95,3.78,11.24,Walking
0.08,0.08,0.13,0.08,0.1,0.12,0.12,0.08,0.12,0.11,0.07,0.15,0.12,0.11,0.11,0.07,0.1,0.07,0.08,0.14,0.1,0.08,0.1,0.11,0.1,0.11,0.11,0.09,0.12,0.1,0,7.96,3.33,725.0,970.0,1120.0,2.49,4.08,2.52,3.21,5.34,3.21,10.11,Downstairs
0.11,0.09,0.09,0.11,0.1,0.1,0.09,0.08,0.12,0.02,0.07,0.09,0.14,0.08,0.18,0.09,0.1,0.07,0.11,0.09,0.09,0.1,0.08,0.09,0.15,0.1,0.11,0.1,0.11,0.08,0,3.93,-1.88,475.0,552.94,1762.5,9.63,6.41,4.89,12.08,7.64,12.08,13.83,Jogging
0.12,0.09,0.12,0.13,0.09,0.09,0.09,0.09,0.11,0.09,0.12,0.1,0.08,0.09,0.08,0.07,0.16,0.11,0.09,0.13,0.13,0.1,0.12,0.12,0.06,0.08,0.12,0.07,0.1,0.12,0,10.12,-1.53,3650.0,630.0,3625.0,4.1,4.14,2.94,5.14,5.2,5.14,12.34,Walking
0.11,0.11,0.11,0.09,0.11,0.12,0.07,0.09,0.12,0.08,0.1,0.13,0.1,0.07,0.09,0.13,0.1,0.1,0.12,0.08,0.05,0.12,0.11,0.15,0.13,0.1,0.15,0.06,0.1,0.06,0,0.16,-5.66,857.14,950.0,4000.0,9.25,5.78,3.08,10.94,7.22,10.94,13.74,Walking
0.07,0.1,0.19,0.1,0.09,0.09,0.09,0.11,0.12,0.07,0.08,0.08,0.14,0.13,0.11,0.08,0.11,0.07,0.18,0.05,0.09,0.16,0.1,0.13,0.11,0.05,0.1,0.11,0.07,0.11,0,10.14,0.38,1816.67,3225.0,1510.0,3.95,3.7,3.57,4.86,4.35,4.86,12.14,Walking
0.11,0.12,0.14,0.07,0.1,0.09,0.15,0.1,0.09,0.06,0.02,0.11,0.11,0.09,0.16,0.18,0.08,0.14,0.1,0.04,0.05,0.07,0.06,0.09,0.13,0.17,0.16,0.1,0.11,0.09,0,9.8,2.49,1737.5,2850.0,2216.67,2.02,2.16,1.66,2.42,2.71,2.42,10.62,Walking
0.06,0.14,0.11,0.04,0.1,0.08,0.07,0.08,0.07,0.08,0.01,0.06,0.08,0.08,0.09,0.07,0.08,0.09,0.14,0.14,0.07,0.11,0.06,0.1,0.1,0.07,0.1,0.1,0.07,0.06,0,3.69,0.32,725.0,1087.5,1100.0,5.94,4.58,2.62,9.55,7.0,9.55,8.87,Upstairs
0.03,0.17,0.15,0.21,0.2,0.21,0.04,0.01,0.0,0.0,0.01,0.1,0.08,0.09,0.09,0.09,0.11,0.13,0.13,0.2,0.12,0.1,0.09,0.12,0.13,0.1,0.08,0.06,0.12,0.11,0,10.08,0.66,1025.0,1650.0,2725.0,1.96,3.0,2.54,2.66,3.54,2.66,10.83,Walking
0.09,0.09,0.1,0.11,0.07,0.14,0.13,0.08,0.11,0.09,0.07,0.12,0.1,0.1,0.11,0.08,0.15,0.11,0.09,0.09,0.08,0.06,0.14,0.12,0.14,0.15,0.1,0.07,0.09,0.08,0,9.9,0.63,375.0,1000.0,4000.0,2.58,3.5,2.21,3.33,4.32,3.33,10.89,Upstairs
0.1,0.09,0.13,0.1,0.06,0.06,0.12,0.11,0.12,0.14,0.1,0.12,0.11,0.15,0.09,0.06,0.09,0.09,0.11,0.11,0.1,0.08,0.09,0.09,0.15,0.1,0.1,0.08,0.12,0.12,0,9.08,-0.16,1458.33,673.08,3700.0,6.23,3.2,2.45,7.95,4.1,7.95,12.19,Walking
0.02,0.1,0.12,0.11,0.17,0.14,0.1,0.1,0.09,0.07,0.05,0.13,0.14,0.07,0.12,0.14,0.09,0.13,0.08,0.08,0.09,0.11,0.1,0.09,0.11,0.1,0.1,0.14,0.11,0.08,0,9.98,-0.76,1925.0,1106.25,1850.0,3.29,2.77,2.4,4.35,3.66,4.35,11.24,Walking
0.11,0.08,0.11,0.08,0.1,0.09,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.08,0.08,0.08,0.13,0.07,0.11,0.12,0.15,0.1,0.1,0.07,0.08,0.1,0.09,0.11,0.13,0.1,0,9.7,2.07,2633.33,711.54,2225.0,2.31,3.27,2.28,2.84,4.03,2.84,10.71,Walking
0.12,0.07,0.14,0.1,0.07,0.12,0.1,0.06,0.12,0.12,0.13,0.05,0.12,0.14,0.06,0.09,0.1,0.11,0.1,0.11,0.09,0.12,0.13,0.1,0.11,0.07,0.12,0.07,0.11,0.1,0,9.74,2.25,1262.5,910.0,3050.0,2.2,3.12,2.09,2.71,3.9,2.71,10.65,Walking
0.16,0.09,0.11,0.07,0.1,0.09,0.07,0.11,0.12,0.1,0.09,0.13,0.11,0.08,0.1,0.07,0.1,0.08,0.11,0.0,0.11,0.11,0.11,0.07,0.12,0.08,0.08,0.1,0.13,0.11,0,8.42,1.87,3775.0,460.0,3725.0,4.71,8.78,5.17,5.96,9.49,5.96,14.07,Jogging
0.01,0.16,0.13,0.06,0.07,0.14,0.18,0.17,0.09,0.02,0.17,0.22,0.11,0.1,0.08,0.1,0.1,0.05,0.05,0.04,0.12,0.13,0.06,0.05,0.09,0.1,0.13,0.14,0.11,0.1,0,-6.26,0.92,860.0,1425.0,2525.0,7.06,7.36,4.41,8.58,8.92,8.58,13.67,Jogging
0.15,0.1,0.1,0.11,0.14,0.11,0.11,0.11,0.04,0.05,0.09,0.12,0.1,0.09,0.13,0.09,0.12,0.1,0.12,0.08,0.08,0.08,0.1,0.1,0.08,0.12,0.11,0.12,0.14,0.1,0,9.54,1.91,2425.0,983.33,1250.0,2.07,3.37,1.95,2.82,4.09,2.82,10.43,Walking
0.04,0.09,0.08,0.12,0.12,0.16,0.12,0.14,0.1,0.05,0.02,0.15,0.11,0.09,0.14,0.15,0.09,0.13,0.08,0.08,0.06,0.06,0.11,0.09,0.15,0.15,0.12,0.07,0.09,0.13,0,10.1,-0.65,2850.0,1133.33,3425.0,3.44,2.6,2.39,4.27,3.38,4.27,11.31,Walking
0.09,0.08,0.07,0.07,0.06,0.1,0.12,0.17,0.14,0.11,0.12,0.13,0.17,0.09,0.14,0.1,0.07,0.09,0.08,0.04,0.07,0.09,0.14,0.1,0.14,0.12,0.11,0.12,0.06,0.07,0,5.93,-0.25,2000.0,2666.67,3450.0,7.25,2.77,2.36,8.47,3.48,8.47,10.5,Walking
0.18,0.14,0.11,0.08,0.08,0.06,0.06,0.08,0.04,0.07,0.11,0.11,0.08,0.09,0.07,0.06,0.07,0.11,0.09,0.09,0.11,0.11,0.05,0.07,0.07,0.09,0.11,0.08,0.11,0.1,0,8.08,0.63,1312.5,850.0,3100.0,1.6,2.47,1.59,2.38,3.77,2.38,8.66,Upstairs
0.01,0.07,0.05,0.06,0.08,0.06,0.07,0.05,0.05,0.04,0.05,0.08,0.06,0.04,0.07,0.07,0.05,0.03,0.05,0.04,0.03,0.05,0.08,0.08,0.07,0.04,0.06,0.04,0.06,0.04,0,4.35,-0.29,825.0,1725.0,1125.0,3.74,2.38,1.82,8.51,5.79,8.51,6.49,Downstairs
0.01,0.08,0.04,0.04,0.08,0.1,0.2,0.16,0.12,0.19,0.05,0.11,0.04,0.06,0.12,0.07,0.14,0.09,0.15,0.17,0.1,0.07,0.06,0.12,0.1,0.17,0.1,0.12,0.09,0.09,0,10.57,-0.15,1950.0,452.5,800.0,4.65,4.7,2.14,5.99,5.58,5.99,12.4,Walking
0.11,0.1,0.08,0.08,0.08,0.1,0.15,0.08,0.13,0.02,0.12,0.06,0.13,0.1,0.12,0.09,0.09,0.11,0.1,0.09,0.11,0.09,0.1,0.1,0.11,0.1,0.13,0.06,0.14,0.1,0,3.91,-1.93,462.5,606.25,3725.0,9.67,6.6,5.26,11.91,7.83,11.91,14.19,Jogging
0.07,0.12,0.09,0.09,0.18,0.13,0.08,0.1,0.08,0.08,0.07,0.11,0.09,0.08,0.18,0.1,0.1,0.11,0.13,0.05,0.08,0.07,0.1,0.12,0.12,0.16,0.12,0.07,0.08,0.11,0,9.62,2.19,1258.33,2725.0,1816.67,1.91,2.49,1.92,2.33,3.1,2.33,10.52,Walking
0.11,0.08,0.13,0.1,0.08,0.08,0.07,0.1,0.13,0.13,0.13,0.09,0.11,0.09,0.09,0.07,0.1,0.1,0.13,0.12,0.12,0.12,0.12,0.09,0.11,0.08,0.1,0.08,0.1,0.11,0,10.03,-1.58,2300.0,1141.67,2300.0,3.41,3.56,3.06,4.41,4.44,4.41,11.82,Walking
